id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
210976660,1224022936128,Sản phẩm: Giày Nữ Búp Bê Pierre Cardin - PCWFWSG 198Cấu tạo• Chất liệu mặt ngoài: Da công nghiệp• Chất liệu lót trong: Da công nghiệp• Chất liệu lót talon: Da công nghiệp• Đế giày: Cao su TPRCác...,819500,1490000,,670500,45,0,,available,,1000,1000,,49369,Pierre Cardin
84085317,9296571620732,"Đôi khi bạn mua một mẫu giày mới cực ưng về kiểu dáng nhưng không giúp tăng chiều cao như mong muốn. Khi đó, bạn cần đến sự trợ giúp của miếng lót giày cao gót, “bù đắp” lại những khuyết điểm khiến đô...",45000,45000,,0,0,1,,available,,1000,1000,,111461,OEM
14046442,2401349623321,Dép tông Dép đi biển Dép lê nữ kiểu dáng thời trang đế dày full size chuẩn 36 đến 40 nhiều màu phù hợp cho mùa hè V149Kiểu dáng thời trang phù hợp xu hướng Thích hợp cho các hoạt động ngoài trời và s...,55000,55000,,0,0,42,,available,,1000,1000,,111461,OEM
134364020,3890214611131,"Thông tin sản phẩm: Giày Mọi NữThiết kế: France.– Kiểu dáng: Giày Slip on (giày lười)– Độ cao gót: 2cm.– Màu sắc: Đắng.Nâu– Size: 35-36-37-38-39-40.– Chất liệu: Da cao cấp nhập khẩu bền đẹp, mềm...",219000,219000,,0,0,0,,available,,1000,1000,,5196303,HT Sports
208116843,9868881467094,Giày cao gót nữ đẹp đế vuông 7 phân hàng hiệu rosata hai màu đen nâu ro449------------------------------------------------Mô tả chi tiết:- Thương hiệu: rosata- Mã sản phẩm: ro449- Kiểu dáng: Giày...,430000,430000,,0,0,3,,available,,1000,1000,,160209,Rosata
271235550,1012403993570,"Bàn chân là bộ phận chịu toàn bộ áp lực, trọng lượng của cơ thể dồn lên mỗi ngày Đối với người có lòng bàn chân phẳng việc vận động sẽ nhanh đau, mỏi bàn chân vì kém linh hoạt hơn lòng bàn chân có ph...",50000,58500,,8500,15,1,,available,,1000,1000,,496813,buybox
253443585,9285037115052,Giày cao gót nữ đẹp đế vuông 5 phân hàng hiệu rosata hai màu đồng chì ro530------------------------------------------------Mô tả chi tiết:- Thương hiệu: rosata- Mã sản phẩm: ro530- Kiểu dáng: Già...,399000,399000,,0,0,0,,available,,1000,1000,,111461,OEM
125098821,4490037587918,"Giày Việt Nam theo tiêu chuẩn châu âu, với chất liệu là sợi dệt và đúc nguyên khối với đế cao su tự nhiên, nên giày siêu bền, siêu giữ màu và đặc biệt là dòng giày duy nhất tại Việt Nam có thể giặt bằ...",190000,190000,,0,0,0,,available,,1000,1000,,111461,OEM
209896689,1460874433979,"Giày có chất liệu cứng đẹp và đứng dáng nhưng lại dễ dàng làm trầy da gót sau và để lại sẹo lồi, vết chai sần trên da.Giày cao gót có độ dốc nên bàn chân bị trượt về phía trước, gây tuột gót giày, b...",19492,19492,,0,0,0,,available,,1000,1000,,496813,buybox
252390524,5716773009185,"- Đế: chất liệu Phylon, đàn hồi uốn gấp.- Đế ngoài: được dán cao su tăng sự trơn trượt bởi công thức cải tiến.- Phần thân trên / mũ quai: tạo miếng Si đắp với đường nét uốn lượn trẻ trung hơn.- Cổ ...",849000,849000,,0,0,0,,available,,1000,1000,,240925,Biti's
